Sample,,,,,,,Methyl butyrate 400 µg/mL Results,,,Methyl hexanoate 400 µg/mL Results,,,Methyl octanoate 400 µg/mL Results,,,Methyl decanoate 400 µg/mL Results,,,Methyl undecanoate 200 µg/mL Results,,,Methyl laurate 400 µg/mL Results,,,Methyl tridecanoate 200 µg/mL Results,,,Methyl myristate 400 µg/mL Results,,,Methyl myristoleate 200 µg/mL Results,,,Methyl pentadecanoate 200 µg/mL Results,,,Methyl cis-10-pentadecenoate 200 µg/mL Results,,,Methyl palmitate 600 µg/mL Results,,,Methyl palmitoleate 200 µg/mL Results,,,Methyl heptadecanoate 200 µg/mL Results,,,cis-10-Heptadecanoic acid methyl ester 200 µg/mL Results,,,Methyl stearate 400 µg/mL Results,,,cis-9-Oleic acid methyl ester 400 µg/mL  |  trans-9-Elaidic acid methyl ester 200 µg/mL Results,,,Methyl linoleate 200 µg/mL  |  Methyl linolelaidate 200 µg/mL Results,,,Methyl ?-linolenate 200 µg/Ml Results,,,Methyl linolenate 200 µg/mL Results,,,Methyl arachidate 400 µg/mL Results,,,Methyl cis-11-eicosenoate Results,,,"cis-11,14-Eicosadienoic acid methyl ester 200 µg/mL Results",,,"cis-8,11,14-Eicosatrienoic acid methyl ester 200 µg/mL  |  Methyl heneicosanoate 200 µg/mL Results",,,"cis-11,14,17-Eicosatrienoic acid methyl ester 200 µg/mL Results",,,"cis-5,8,11,14-Eicosatetraenoic acid methyl ester 200 µg/mL Results",,,"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester 200 µg/mL Results",,,Methyl behenate 400 µg/mL Results,,,Methyl erucate 200 µg/mL Results,,,"cis-13,16-Docosadienoic acid methyl ester 200 µg/mL Results",,,Methyl tricosanoate 200 µg/Ml Results,,,Methyl lignocerate 400 µg/mL Results,,,"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester 200 µg/mL  |  Methyl nervonate 200 µg/mL Results",,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,"1: FAME 10mg/mL, 40c",JTB-E02-56-06.D,Cal,6,4/5/2017 21:24,4.56,402.0161,100.5,6.34,400.6255,100.2,7.67,400.5776,100.1,8.763,400.5746,100.1,9.247,200.2867,100.1,9.74,400.5661,100.1,10.24,200.275,100.1,10.843,400.5367,100.1,11.083,201.5479,100.8,11.497,200.2635,100.1,11.81,200.2536,100.1,12.367,600.7654,100.1,12.593,200.2529,100.1,13.27,200.2467,100.1,13.587,200.2506,100.1,14.493,403.0929,100.8,14.787,400.4857,100.1,15.367,200.2343,100.1,15.747,200.2222,100.1,16.217,200.2321,100.1,17.283,401.8336,100.5,17.583,200.2362,100.1,18.347,200.2235,100.1,18.833,200.2132,100.1,19.23,200.3969,100.2,19.467,200.2218,100.1,20.403,198.3226,99.2,20.767,401.7957,100.4,21.18,200.2099,100.1,22.227,200.2186,100.1,22.953,200.2419,100.1,26.067,400.7694,100.2,26.49,198.55,99.3
,!,"1: FAME 1mg/mL, 40c",JTB-E02-56-09.D,Cal,5,4/5/2017 23:34,4.453,19.6028,49,6.29,33.7122,84.3,7.63,34.1883,85.5,8.73,34.214,85.5,9.22,17.1191,85.6,9.703,34.3047,85.8,10.21,17.2332,86.2,10.79,34.6015,86.5,11.117,4.2997,21.5,11.457,17.348,86.7,11.76,17.5423,87.7,12.263,52.2992,87.2,12.513,17.4573,87.3,13.193,17.5206,87.6,13.507,17.4801,87.4,14.457,8.6545,21.6,14.617,35.118,87.8,15.217,17.6472,88.2,15.63,17.864,89.3,16.103,17.6672,88.3,17.423,21.4103,53.5,17.423,17.626,88.1,18.2,17.8502,89.3,18.68,17.8625,89.3,19.313,15.9907,80,19.313,17.7747,88.9,20.497,37.1242,185.6,20.94,21.7856,54.5,20.94,17.9896,89.9,22.017,17.8088,89,22.687,17.6224,88.1,26.233,32.2578,80.6,26.233,34.8016,174
,!,"1: FAME 0.1mg/mL, 40c",JTB-E02-56-12.D,Cal,4,4/6/2017 1:43,4.52,5.7719,144.3,6.29,4.1441,103.6,7.63,4.1896,104.7,8.727,4.2426,106.1,9.22,2.0586,102.9,9.7,4.1743,104.4,10.21,2.089,104.4,10.783,4.1598,104,11.12,3.773,188.7,11.45,2.0945,104.7,11.823,1.118,55.9,12.243,6.2329,103.9,12.507,2.0646,103.2,13.187,2.0462,102.3,13.497,2.0619,103.1,14.453,7.3649,184.1,14.587,4.1034,102.6,15.2,2.0292,101.5,15.687,1.0531,52.7,16.097,2.0516,102.6,17.4,6.0363,150.9,17.4,2.0574,102.9,18.46,1.0544,52.7,18.66,1.9975,99.9,19.3,2.2883,114.4,19.3,2.0043,100.2,20.45,0,0,20.91,6.0785,152,21.05,1.0345,51.7,21.997,1.9874,99.4,22.647,1.565,78.2,26.193,4.2926,107.3,26.193,0,0
,!,"1: FAME 0.01mg/mL, 40c",JTB-E02-56-18.D,Cal,3,4/6/2017 6:03,4.52,5.6894,1422.4,6.337,1.9762,494,7.667,1.8345,458.6,8.79,1.8049,451.2,9.217,0.918,459,9.693,1.8858,471.5,10.207,0.9234,461.7,10.78,1.8126,453.2,11.117,4.1167,2058.4,11.503,0.8394,419.7,11.82,1.0858,542.9,12.24,2.6591,443.2,12.5,0.8666,433.3,13.183,0.8505,425.3,13.493,0.8572,428.6,14.45,7.5305,1882.6,14.58,1.681,420.3,15.193,0.8218,410.9,15.687,0.9904,495.2,16.333,0.7581,379.1,17.397,4.8337,1208.4,17.737,0.7645,382.2,18.46,1.0096,504.8,18.653,0.6899,345,19.293,1.2244,612.2,19.293,0.7874,393.7,20.44,0,0,20.9,4.8511,1212.8,21.283,0.9209,460.5,21.987,0.7277,363.9,22.643,0.1659,82.9,26.183,2.1061,526.5,26.183,0,0
,!,"1: FAME 0.001mg/mL, 40c",JTB-E02-56-21.D,Cal,2,4/6/2017 8:13,4.52,5.6934,14233.5,6.34,1.9982,4995.5,7.67,1.8224,4556.1,8.793,1.8043,4510.9,9.253,0.8529,4264.4,9.677,1.7541,4385.3,10.21,0.8523,4261.4,10.77,1.669,4172.5,11.12,4.4059,22029.5,11.51,0.8378,4189,11.823,1.0838,5418.9,12.35,2.3535,3922.6,12.503,0.7942,3970.9,13.187,0.7765,3882.7,13.497,0.7833,3916.3,14.453,8.0189,20047.3,14.583,1.5323,3830.8,15.51,0.7394,3696.8,15.693,1.0101,5050.3,16.327,0.7574,3787.1,17.4,4.7579,11894.8,17.75,0.7704,3851.9,18.467,1.0037,5018.3,18.66,0.621,3105.1,19.303,1.1626,5812.8,19.303,0.7176,3588,20.44,0,0,21.05,4.8967,12241.7,21.273,0.9284,4641.9,21.873,0.7816,3907.8,23.36,2.0641,10320.4,25.667,1.9783,4945.8,26.38,0,0
,!,"1: FAME 0.0001mg/mL, 40c",JTB-E02-56-24.D,Cal,1,4/6/2017 10:23,4.52,5.6704,141758.9,6.337,1.9878,49695.2,7.667,1.8315,45787.9,8.79,1.8036,45089.9,9.307,0.9868,49342.1,9.673,1.759,43974.2,10.24,0.8492,42461.8,10.767,1.6644,41610.5,11.117,4.0787,203935.6,11.503,0.8388,41937.7,11.82,1.1386,56927.7,12.34,2.3559,39264.5,12.55,0.7864,39321.3,13.287,0.7813,39066,13.673,0.7888,39442.1,14.45,9.7822,244556.2,14.76,1.5236,38089,15.143,0.7501,37503.6,15.687,1.0822,54109.2,16.13,0.7555,37775.7,17.05,5.5722,139304.8,17.75,0.7676,38378.6,18.457,1.0806,54029.4,18.657,0.8377,41886.1,19.147,1.1591,57956.8,19.677,0.7162,35810.2,20.44,0,0,21.043,5.0365,125912.9,21.043,1.1387,56937,22.12,0.6979,34895.9,22.64,0.5628,28138.8,25.427,3.0398,75995,26.413,0,0
!,!,"01: Tri Pal_Tri Mix, 200ul, 40C: 200ul H2SO4",JTB-E02-61-04.D,Sample,,4/17/2017 14:19,4.527,5.8185,,6.29,5.4823,,7.627,6.3327,,8.723,7.0149,,9.253,0.848,,9.697,1.6966,,10.207,0.8495,,10.78,1.6512,,11.133,2.4337,,11.447,0.8397,,11.823,1.0243,,12.243,14.8098,,12.69,0.7874,,13.183,0.7722,,13.733,0.7825,,14.58,4.9512,,14.983,1.5377,,,,,15.69,0.938,,16.327,0.7579,,17.49,4.7533,,,,,18.473,0.9191,,,,,,,,,,,20.243,0,,20.743,4.7709,,21.193,0.9142,,22.173,0.6712,,23.347,0.0961,,26.063,1.9664,,26.5,0,
!,!,"02: Tri Pal_Tri Mix, 200ul, 40C:200ul H2SO4",JTB-E02-61-05.D,Sample,,4/17/2017 15:00,4.523,5.7935,,6.29,5.5284,,7.627,6.3536,,8.723,7.5159,,9.253,0.8489,,9.697,1.71,,10.293,0.85,,10.873,1.6336,,11.06,2.4301,,11.487,0.8294,,11.827,1.0209,,12.247,15.7433,,12.6,0.7871,,13.18,0.77,,13.607,0.7801,,14.443,5.0082,,14.573,1.5413,,15.443,0.7407,,15.69,0.9281,,16.333,0.763,,17.407,4.7537,,,,,18.073,0.9175,,19.077,0.6055,,,,,19.477,0.7147,,20.243,0,,20.727,4.7719,,21.143,0.9166,,22.163,0.6746,,23.35,0.1398,,26.077,1.9664,,26.467,0,
!,!,"03: Tri Pal_Tri Mix, 200ul, 40C: 200ul H2SO4",JTB-E02-61-06.D,Sample,,4/17/2017 15:41,4.523,5.7276,,6.287,4.3589,,7.627,5.1976,,8.723,6.3192,,9.253,0.8485,,9.697,1.6963,,10.207,0.8492,,10.78,1.646,,11.133,2.4366,,11.447,0.841,,11.823,1.0364,,12.247,17.8666,,12.597,0.7868,,13.18,0.7698,,13.44,0.8036,,14.447,4.9599,,14.78,1.5223,,15.507,0.7394,,15.69,0.94,,16.12,0.7533,,17.303,4.7527,,,,,18.46,0.9588,,,,,,,,19.5,0.7142,,20.24,0,,20.707,4.7711,,21.207,0.9195,,22.297,0.668,,23.04,0.0536,,26.033,1.9673,,26.467,0,
