Treatment,% of WET,% of DRY,% of Lean
UZ16 Lipid and Wet,6.397306397,18.71921182,0.201122049
UZ16 Lipid and Wet,6.873315364,18.02120141,0.254249963
UZ16 Lipid and Wet,8.928571429,24.3902439,0.448707162
UZ16 Lipid and Wet,10.29411765,34.28571429,na
UZ16 Lipid and Wet,10.86675291,37.83783784,na
UZ16 Lipid and Wet,10.97410604,37.55274262,na
UZ16 Lipid and Wet,10.72705602,37.03703704,na
UZ16 Lipid and Wet,10.32818533,34.74025974,na
UZ16 Lipid and Wet,11.05371901,37.54385965,na
UZ16 Lipid and Wet,18.3908046,53.84615385,0.558464223
UZ16 Lipid and Wet,13.08840413,40.56939502,na
UZ16 Lipid and Wet,19.79695431,55.18867925,0.612052731
UZ16 Lipid and Wet,20.56239016,61.2565445,0.587202008
UZ16 Lipid and Wet,17.6730486,51.72413793,0.65270601
UZ16 Lipid and Wet,10.99000908,35.90504451,na
UZ16 Lipid and Wet,17.23666211,39.87341772,0.617163009
UZ16 Lipid and Wet,12.48780488,39.62848297,na
UZ16 Lipid and Wet,21.79700499,60.64814815,0.696919721
UZ16 Lipid and Wet,12.06896552,37.35955056,na
UZ16 Lipid and Wet,60.52631579,21.26348228,0.70566578
UZ16 Lipid and Wet,19.52908587,57.08502024,0.712589074
UZ16 Lipid and Wet,19.61325967,61.73913043,0.746975276
UZ16 Lipid and Wet,18.80448319,54.51263538,0.830491695
UZ16 Lipid and Wet,18.72294372,49.14772727,0.879601383
UZ16 Lipid and Wet,na,na,0.99298435
UZ16 Lipid and Wet,19.34826884,54.75504323,0.968794616
BE16 Total Lipid/WET Mass,20.17,57.4,0.41
BE16 Total Lipid/WET Mass,19.92,56.32,0.49
BE16 Total Lipid/WET Mass,19.81,55.85,0.45
BE16 Total Lipid/WET Mass,20.97,55.19,0.59
BE16 Total Lipid/WET Mass,18.28,51.49,0.51
BE16 Total Lipid/WET Mass,21.63,57.6,0.53
BE16 Total Lipid/WET Mass,15.86,40.32,na
BE16 Total Lipid/WET Mass,20.58,54.01,0.64
BE16 Total Lipid/WET Mass,6.7,79.88,na
BE16 Total Lipid/WET Mass,21.09,57.92,0.69
BE16 Total Lipid/WET Mass,19.59,52.01,0.8
BE16 Total Lipid/WET Mass,20.39,52.92,0.72
BE16 Total Lipid/WET Mass,22.54,56.73,0.66
BE16 Total Lipid/WET Mass,23.48,60.58,0.81
BE16 Total Lipid/WET Mass,21.3,55.56,0.87
BE16 Total Lipid/WET Mass,20.77,52.44,0.97
BE16 Total Lipid/WET Mass,23.26,57.28,0.76
BE16 Total Lipid/WET Mass,21.84,54.73,1.03
BE16 Total Lipid/WET Mass,23.76,58.05,0.8
BE16 Total Lipid/WET Mass,20.85,55.8,0.85
UZ12 Total Lipid/WET Mass,22.18430034,51.18110236,0.693296358
UZ12 Total Lipid/WET Mass,21.81818182,51.06382979,0.750273537
UZ12 Total Lipid/WET Mass,20.45133992,48.98648649,0.758566571
UZ12 Total Lipid/WET Mass,20.51630435,49.18566775,0.801273547
UZ12 Total Lipid/WET Mass,21.11111111,48.40764331,0.788013894
UZ12 Total Lipid/WET Mass,21.28240109,48.90282132,na
UZ12 Total Lipid/WET Mass,22.42857143,51.98675497,0.754336232
UZ12 Total Lipid/WET Mass,21.80851064,50,0.87930942
UZ12 Total Lipid/WET Mass,21.72774869,50.76452599,0.917025743
UZ12 Total Lipid/WET Mass,21.21212121,50,0.91483337
UZ12 Total Lipid/WET Mass,21.63892446,50.14836795,0.815558344
UZ12 Total Lipid/WET Mass,22.91666667,52.22551929,na
UZ12 Total Lipid/WET Mass,20.81395349,47.10526316,na
UZ12 Total Lipid/WET Mass,20.96018735,23.33767927,0.928519556
UZ12 Total Lipid/WET Mass,21.47887324,49.32614555,0.884998549
UZ12 Total Lipid/WET Mass,22.34299517,52.85714286,0.991957105
UZ12 Total Lipid/WET Mass,19.95905834,45.24361949,na
UZ12 Total Lipid/WET Mass,22.42562929,50.77720207,0.914520343
UZ12 Total Lipid/WET Mass,19.44444444,46.77804296,0.930365026
UZ12 Total Lipid/WET Mass,19.80295567,46.52777778,na
UZ12 Total Lipid/WET Mass,23.68728121,53.2808399,na
UZ12 Total Lipid/WET Mass,22.67699115,52.16284987,1.074029444
UZ12 Total Lipid/WET Mass,20.74148297,49.75961538,1.097560976
UZ12 Total Lipid/WET Mass,21.94092827,51.87032419,1.062905616
UZ12 Total Lipid/WET Mass,22.85714286,51.48514851,1.091806204
UZ12 Total Lipid/WET Mass,20.703125,49.53271028,1.108670641
UZ12 Total Lipid/WET Mass,20.14925373,46.75324675,na
UZ12 Total Lipid/WET Mass,21.90954774,49.88558352,1.101900526
UZ12 Total Lipid/WET Mass,20.68965517,48.5106383,na
UZ12 Total Lipid/WET Mass,19.4598888,49.09819639,1.297257228
UZ12 Total Lipid/WET Mass,21.92982456,50.91649695,1.333404448
UZ12 Total Lipid/WET Mass,22.19343696,52.55623722,1.367021277
UZ12 Total Lipid/WET Mass,26.01214575,59.49074074,1.347171987
UZ12 Total Lipid/WET Mass,22.0890411,52.01612903,1.275396708
UZ12 Total Lipid/WET Mass,22.68760908,51.68986083,1.325313488
UZ12 Total Lipid/WET Mass,20.81339713,49.24528302,1.301615799
UZ12 Total Lipid/WET Mass,27.79552716,112.0171674,1.382268827
UZ12 Total Lipid/WET Mass,26.67322835,60.76233184,1.358804653
UZ12 Total Lipid/WET Mass,58.42696629,133.7620579,2.182123374
UZ12 Total Lipid/WET Mass,62.95754026,140.9836066,2.097151775
UZ12 Total Lipid/WET Mass,43.33008763,96.94989107,2.148305494
UZ12 Total Lipid/WET Mass,64.66480447,148.3974359,2.379606311
UZ12 Total Lipid/WET Mass,54.84988453,125,2.339440504
