Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,5/13/2018 8:34 PM,12.728,0.2556,,13.388,0.2533,,14.309,0.3094,
,,blank,001-0202.D,Blank,1,5/13/2018 8:54 PM,12.847,0.2557,,13.336,0.2533,,13.944,0.3109,
,,blank,001-0303.D,Blank,1,5/13/2018 9:14 PM,12.816,0.2556,,13.366,0.2532,,13.554,0.3110,
,,blank,001-0404.D,Blank,1,5/13/2018 9:35 PM,12.765,0.2556,,13.386,0.2532,,14.476,0.3093,
,!,tag_mix,2AA-0501.D,Cal,2,5/13/2018 9:55 PM,12.761,0.2914,161.9,13.381,0.2996,149.8,12.760,0.3574,155.4
,!,tag_mix,2AB-0601.D,Cal,3,5/13/2018 10:15 PM,12.759,0.3169,117.4,13.381,0.3321,110.7,12.759,0.3903,113.1
,!,tag_mix,2AC-0701.D,Cal,4,5/13/2018 10:36 PM,12.756,0.4080,90.7,13.376,0.4508,90.2,12.756,0.5121,89.1
,!,tag_mix,2AD-0801.D,Cal,5,5/13/2018 10:56 PM,12.753,0.7283,80.9,13.372,0.8593,85.9,12.753,0.9228,80.2
,!,tag_mix,2AE-0901.D,Cal,6,5/13/2018 11:16 PM,12.750,1.2022,89.1,13.368,1.3946,93.0,12.750,1.5107,87.6
,!,tag_mix,2AF-1001.D,Cal,7,5/13/2018 11:37 PM,12.747,1.8315,101.7,13.365,2.0869,104.3,12.747,2.2607,98.3
,,blank,001-1105.D,Blank,1,5/13/2018 11:57 PM,12.743,0.2555,,13.358,0.2533,,13.757,0.3105,
,!,0220-17,2CA-1201.D,Sample,1,5/14/2018 12:17 AM,12.773,0.2609,,13.336,0.2533,,12.345,0.3198,
,!,0220-18,2CB-1301.D,Sample,1,5/14/2018 12:38 AM,12.765,0.2595,,13.327,0.2533,,12.334,0.3161,
,!,0220-19,2CC-1401.D,Sample,1,5/14/2018 12:58 AM,12.770,0.2573,,13.387,0.2533,,12.334,0.3137,
,!,0220-20,2CD-1501.D,Sample,1,5/14/2018 1:18 AM,12.757,0.2608,,13.367,0.2532,,12.329,0.3176,
,!,0221-04,2CE-1601.D,Sample,1,5/14/2018 1:39 AM,12.755,0.2615,,13.349,0.2534,,12.328,0.3199,
,!,0221-05,2CF-1701.D,Sample,1,5/14/2018 1:59 AM,12.751,0.2783,,13.371,0.2532,,12.325,0.3418,
,!,0221-08,2CG-1801.D,Sample,1,5/14/2018 2:19 AM,12.749,0.2713,,13.395,0.2532,,12.324,0.3332,
,!,0227-17,2CH-1901.D,Sample,1,5/14/2018 2:40 AM,12.745,0.3235,,13.567,0.2533,,12.323,0.6081,
,!,0227-18,2CI-2001.D,Sample,1,5/14/2018 3:00 AM,12.745,0.3262,,13.322,0.2534,,12.321,0.5877,
,!,0301-17,2DA-2101.D,Sample,1,5/14/2018 3:20 AM,12.740,0.5622,,13.142,0.2549,,12.319,1.7780,
,,blank,001-2201.D,Blank,1,5/14/2018 3:41 AM,12.971,0.2560,,13.366,0.2532,,13.657,0.3102,
,!,qc,2AG-2301.D,QC,5,5/14/2018 4:01 AM,12.707,0.7320,81.3,13.318,0.8644,86.4,12.707,0.9419,81.9
,,blank,001-2402.D,Blank,1,5/14/2018 4:21 AM,12.743,0.2556,,13.294,0.2533,,13.664,0.3090,
,!,0301-18,2DB-2501.D,Sample,1,5/14/2018 4:42 AM,12.731,0.4508,,13.135,0.2545,,12.307,1.2737,
,!,0306-03,2DC-2601.D,Sample,1,5/14/2018 5:02 AM,12.724,0.2977,,13.408,0.2532,,12.301,0.5052,
,!,0306-04,2DD-2701.D,Sample,1,5/14/2018 5:22 AM,12.723,0.2947,,13.335,0.2534,,12.301,0.4720,
,!,0306-05,2DE-2801.D,Sample,1,5/14/2018 5:43 AM,12.718,0.2766,,13.339,0.2533,,12.297,0.3821,
,!,0306-06,2DF-2901.D,Sample,1,5/14/2018 6:03 AM,12.713,0.2841,,13.403,0.2533,,12.292,0.4731,
