Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,6/21/2018 4:56 PM,11.769,0.1433,,12.346,0.1337,,13.220,0.1557,
,,blank,001-0202.D,Blank,1,6/21/2018 5:16 PM,11.954,0.1435,,12.298,0.1337,,13.220,0.1534,
,,blank,001-0303.D,Blank,1,6/21/2018 5:37 PM,11.826,0.1435,,12.336,0.1337,,13.270,0.1541,
,,blank,001-0404.D,Blank,1,6/21/2018 5:57 PM,11.807,0.1434,,12.313,0.1336,,13.289,0.1534,
,!,tag_mix,2AA-0501.D,Cal,1,6/21/2018 6:17 PM,11.813,0.1435,135.4,12.335,0.1339,124.0,12.814,0.1543,126.5
,!,tag_mix,2AB-0601.D,Cal,2,6/21/2018 6:38 PM,11.800,0.1839,69.4,12.331,0.1764,65.3,11.800,0.1999,65.5
,!,tag_mix,2AC-0701.D,Cal,3,6/21/2018 6:58 PM,11.800,0.3057,57.7,12.331,0.3037,56.2,11.800,0.3386,55.5
,!,tag_mix,2AD-0801.D,Cal,4,6/21/2018 7:18 PM,11.800,0.7368,92.7,12.333,0.7644,94.4,11.800,0.8508,93.0
,!,tag_mix,2AE-0901.D,Cal,5,6/21/2018 7:39 PM,11.800,0.5157,48.6,12.332,0.4868,45.1,11.800,0.5472,44.9
,,blank,001-1005.D,Blank,1,6/21/2018 7:59 PM,11.794,0.1434,,12.297,0.1338,,13.253,0.1543,
,!,0505-01,2DB-1101.D,Sample,1,6/21/2018 8:19 PM,11.828,0.1849,,12.352,0.1336,,11.048,0.5468,
,!,0515-01,2DC-1201.D,Sample,1,6/21/2018 8:40 PM,11.826,0.1866,,12.367,0.1338,,11.046,0.6096,
,!,0425-03,2DD-1301.D,Sample,1,6/21/2018 9:00 PM,11.825,0.1589,,12.249,0.1337,,11.045,0.3718,
,!,0425-07,2DE-1401.D,Sample,1,6/21/2018 9:20 PM,11.831,0.1534,,12.336,0.1337,,11.049,0.4415,
