Temperature,Light Hours,Strain,Colony Info,Sample Name,Microtube wt + Beads + WET Larvae,Microtube Wt + Beads,Microtube + Beads + DRY Larvae,Microtube + Beads + LEAN Larva,TV wt ,TV mass + DRY Lipids,Lipid Conc in 3mL DCM (g/mL),0.003g/1mL Dilution for 200uL,DCM for 200mL,Internal Standard,DRY Larva,WET Larva ,Lean Mass,Lipid Mass
23,Winter,BE,"BE12,23",0623-06,1.9512,1.8692,1.9033,,,,0,#DIV/0!,#DIV/0!,,0.0341,0.0820,,
23,Winter,BE,"BE12,23",0623-07,1.9561,1.8807,1.913,,,,0,#DIV/0!,#DIV/0!,,0.0323,0.0754,,
23,Winter,BE,"BE12,23",0623-08,1.9468,1.8571,1.8936,,,,0,#DIV/0!,#DIV/0!,,0.0365,0.0897,,
23,Winter,BE,"BE12,23",0623-09,1.8493,1.7867,1.8104,,,,0,#DIV/0!,#DIV/0!,,0.0237,0.0626,,
23,Winter,BE,"BE12,23",0623-10,1.848,1.7777,1.8068,,,,0,#DIV/0!,#DIV/0!,,0.0291,0.0703,,
23,Winter,BE,"BE12,23",0623-11,1.9346,1.838,1.8767,,,,0,#DIV/0!,#DIV/0!,,0.0387,0.0966,,
23,Winter,BE,"BE12,23",0627-01,2.2295,2.176,2.1976,,,,0,#DIV/0!,#DIV/0!,,0.0216,0.0535,,
23,Winter,BE,"BE12,23",0627-02,1.8913,1.8154,1.8474,,,,0,#DIV/0!,#DIV/0!,,0.0320,0.0759,,
23,Winter,BE,"BE12,23",0627-03,1.9669,1.8938,1.9268,,,,0,#DIV/0!,#DIV/0!,,0.0330,0.0731,,
23,Winter,BE,"BE12,23",0627-04,1.8822,1.8012,1.8373,,,,0,#DIV/0!,#DIV/0!,,0.0361,0.0810,,
23,Winter,BE,"BE12,23",0627-05,1.8486,1.7735,1.8063,,,,0,#DIV/0!,#DIV/0!,,0.0328,0.0751,,
23,Winter,BE,"BE12,23",0627-06,1.8864,1.8084,1.8417,,,,0,#DIV/0!,#DIV/0!,,0.0333,0.0780,,
23,Winter,BE,"BE12,23",0627-07,1.9441,1.855,1.8961,,,,0,#DIV/0!,#DIV/0!,,0.0411,0.0891,,
23,Winter,BE,"BE12,23",0627-08,1.9436,1.8635,1.8999,,,,0,#DIV/0!,#DIV/0!,,0.0364,0.0801,,
23,Winter,BE,"BE12,23",0627-09,2.0055,1.908,1.951,,,,0,#DIV/0!,#DIV/0!,,0.0430,0.0975,,
23,Winter,BE,"BE12,23",0627-10,1.952,1.8481,1.8945,,,,0,#DIV/0!,#DIV/0!,,0.0464,0.1039,,
23,Winter,BE,"BE12,23",0627-11,2.0382,1.9443,1.9863,,,,0,#DIV/0!,#DIV/0!,,0.0420,0.0939,,
23,Winter,BE,"BE12,23",0627-12,1.9759,1.8905,1.9286,,,,0,#DIV/0!,#DIV/0!,,0.0381,0.0854,,
23,Winter,BE,"BE12,23",0627-13,1.9754,1.8773,1.9219,,,,0,#DIV/0!,#DIV/0!,,0.0446,0.0981,,
23,Winter,BE,"BE12,23",0627-14,1.8746,1.7805,1.8236,,,,0,#DIV/0!,#DIV/0!,,0.0431,0.0941,,
23,Winter,BE,"BE12,23",0627-15,2.0396,1.9344,1.9813,,,,0,#DIV/0!,#DIV/0!,,0.0469,0.1052,,
23,Winter,BE,"BE12,23",0627-16,1.8795,1.8079,1.84,,,,0,#DIV/0!,#DIV/0!,,0.0321,0.0716,,
23,Winter,BE,"BE12,23",0627-17,1.8592,1.7791,1.8122,,,,0,#DIV/0!,#DIV/0!,,0.0331,0.0801,,
23,Winter,BE,"BE12,23",0627-18,1.8595,1.7722,1.8099,,,,0,#DIV/0!,#DIV/0!,,0.0377,0.0873,,
23,Winter,UZ,"UZ12,23",0610-08,1.9249,1.8421,1.8771,1.865,15.2049,15.2234,0.0062,97,103,,0.0350,0.0828,0.0229,0.0185
23,Winter,UZ,"UZ12,23",0610-09,1.9596,1.8456,1.8947,1.8749,15.2492,15.2742,0.0083,72,128,,0.0491,0.1140,0.0293,0.0250
23,Winter,UZ,"UZ12,23",0610-10,2.1298,2.0598,2.09,2.0813,15.0681,15.0838,0.0052,115,85,,0.0302,0.0700,0.0215,0.0157
23,Winter,UZ,"UZ12,23",0610-11,1.967,1.8512,1.9001,1.88,14.9754,15.0011,0.0086,70,130,,0.0489,0.1158,0.0288,0.0257
23,Winter,UZ,"UZ12,23",0610-12,2.1277,2.0425,2.0796,2.0678,14.7022,14.7205,0.0061,98,102,,0.0371,0.0852,0.0253,0.0183
23,Winter,UZ,"UZ12,23",0610-13,1.9601,1.8892,1.9188,1.9115,15.1896,15.2041,0.0048,124,76,,0.0296,0.0709,0.0223,0.0145
23,Winter,UZ,"UZ12,23",0610-14,1.9717,1.8813,1.9206,1.9087,15.1007,15.1212,0.0068,88,112,,0.0393,0.0904,0.0274,0.0205
23,Winter,UZ,"UZ12,23",0610-15,1.9647,1.8987,1.9269,1.9193,15.045,15.0594,0.0048,125,75,,0.0282,0.0660,0.0206,0.0144
23,Winter,UZ,"UZ12,23",0610-16,1.987,1.8846,1.9274,1.9122,15.1607,15.1819,0.0071,85,115,,0.0428,0.1024,0.0276,0.0212
23,Winter,UZ,"UZ12,23",0611-01,1.9841,1.8582,1.9081,1.8886,15.0211,15.0456,0.0082,73,127,,0.0499,0.1259,0.0304,0.0245
23,Winter,UZ,"UZ12,23",0611-02,1.8934,1.8142,1.8478,1.8364,15.0816,15.0984,0.0056,107,93,,0.0336,0.0792,0.0222,0.0168
23,Winter,UZ,"UZ12,23",0611-03,1.9715,1.8805,1.9209,1.9051,14.9683,14.9891,0.0069,87,113,,0.0404,0.0910,0.0246,0.0208
23,Winter,UZ,"UZ12,23",0611-04,1.9366,1.863,1.8937,1.8845,15.1253,15.1404,0.005,119,81,,0.0307,0.0736,0.0215,0.0151
23,Winter,UZ,"UZ12,23",0611-05,1.8649,1.7885,1.8212,1.8102,15.2441,15.2607,0.0055,108,92,,0.0327,0.0764,0.0217,0.0166
23,Winter,UZ,"UZ12,23",0611-06,2.1268,2.0487,2.0824,2.0722,15.0256,15.0425,0.0056,107,93,,0.0337,0.0781,0.0235,0.0169
23,Winter,UZ,"UZ12,23",0611-07,1.98,1.8561,1.9094,1.8882,15.095,15.1211,0.0087,69,131,,0.0533,0.1239,0.0321,0.0261
23,Winter,UZ,"UZ12,23",0611-08,2.2035,2.1161,2.1547,2.1432,14.704,14.7236,0.0065,92,108,,0.0386,0.0874,0.0271,0.0196
23,Winter,UZ,"UZ12,23",0611-09,2.0985,1.9731,2.0261,2.0052,15.2749,15.301,0.0087,69,131,,0.0530,0.1254,0.0321,0.0261
23,Winter,UZ,"UZ12,23",0611-10,2.181,2.0802,2.1221,2.1067,15.1775,15.1971,0.0065,92,108,,0.0419,0.1008,0.0265,0.0196
23,Winter,UZ,"UZ12,23",0611-11,2.0278,1.933,1.9731,1.9569,15.0505,15.0713,0.0069,87,113,,0.0401,0.0948,0.0239,0.0208
23,Winter,UZ,"UZ12,23",0611-12,2.0516,1.9521,1.9958,1.9784,14.9699,14.9917,0.0073,83,117,,0.0437,0.0995,0.0263,0.0218
23,Winter,UZ,"UZ12,23",0611-13,2.1109,1.9941,2.0437,2.0229,15.2345,15.2603,0.0086,70,130,,0.0496,0.1168,0.0288,0.0258
23,Winter,UZ,"UZ12,23",0611-14,2.0471,1.9325,1.9828,1.9618,15.1195,15.1455,0.0087,69,131,,0.0503,0.1146,0.0293,0.0260
23,Winter,UZ,"UZ12,23",0611-15,1.9595,1.8597,1.9013,1.886,15.0503,15.071,0.0069,87,113,,0.0416,0.0998,0.0263,0.0207
23,Winter,UZ,"UZ12,23",0611-16,1.9906,1.9052,1.9819,1.9278,15.069,15.0869,0.006,101,99,,0.0767,0.0854,0.0226,0.0179
23,Winter,UZ,"UZ12,23",0611-17,1.9193,1.8441,1.8769,1.8651,15.1548,15.1712,0.0055,110,90,,0.0328,0.0752,0.0210,0.0164
23,Winter,UZ,"UZ12,23",0611-18,1.9802,1.9082,1.9396,1.9289,15.0663,15.0815,0.0051,118,82,,0.0314,0.0720,0.0207,0.0152
23,Winter,UZ,"UZ12,23",0611-19,1.9153,1.8567,1.8821,1.8751,15.1058,15.1188,0.0043,138,62,,0.0254,0.0586,0.0184,0.0130
23,Winter,UZ,"UZ12,23",0612-01,1.9735,1.9002,1.9321,1.9218,15.1802,15.1958,0.0052,115,85,W/ 195uL OF 2.56MG/ML TRIHEP,0.0319,0.0733,0.0216,0.0156
23,Winter,UZ,"UZ12,23",0612-02,2.0683,1.9826,2.0207,2.006,15.1641,15.1844,0.0068,89,111,W/ 195uL OF 2.56MG/ML TRIHEP,0.0381,0.0857,0.0234,0.0203
23,Winter,UZ,"UZ12,23",0612-03,2.0255,1.9183,1.9645,1.9462,15.2282,15.2498,0.0072,83,117,W/ 195uL OF 2.56MG/ML TRIHEP,0.0462,0.1072,0.0279,0.0216
23,Winter,UZ,"UZ12,23",0612-04,2.042,1.9652,1.9989,1.9873,15.0793,15.0969,0.0059,102,98,W/ 195uL OF 2.56MG/ML TRIHEP,0.0337,0.0768,0.0221,0.0176
23,Winter,UZ,"UZ12,23",0612-05,2.1034,2.0019,2.0451,2.0305,14.9706,14.9907,0.0067,90,110,W/ 195uL OF 2.56MG/ML TRIHEP,0.0432,0.1015,0.0286,0.0201
23,Winter,UZ,"UZ12,23",0612-06,2.1074,1.9972,2.0442,2.0263,15.0832,15.106,0.0076,79,121,W/ 195uL OF 2.56MG/ML TRIHEP,0.0470,0.1102,0.0291,0.0228
23,Winter,UZ,"UZ12,23",0613-01,2.0654,1.9638,2.0084,1.9944,15.1137,15.1408,0.009,66,134,,0.0446,0.1016,0.0306,0.0271
23,Winter,UZ,"UZ12,23",0613-02,1.9923,1.9207,1.9519,1.9457,15.034,15.0803,0.0154,39,161,,0.0312,0.0716,0.0250,0.0463
23,Winter,UZ,"UZ12,23",0613-03,2.0947,2.0264,2.0569,2.0504,15.1159,15.1589,0.0143,42,158,,0.0305,0.0683,0.0240,0.0430
23,Winter,UZ,"UZ12,23",0613-04,1.9529,1.8817,1.9128,1.9064,15.2459,15.2875,0.0139,43,157,,0.0311,0.0712,0.0247,0.0416
23,Winter,UZ,"UZ12,23",0613-05,2.0905,2.0039,2.0419,2.0304,15.2195,15.267,0.0158,38,162,,0.0380,0.0866,0.0265,0.0475
23,Winter,UZ,"UZ12,23",0613-06,1.9769,1.8781,1.9213,1.9077,15.2165,15.2422,0.0086,70,130,,0.0432,0.0988,0.0296,0.0257
23,Winter,UZ,"UZ12,23",0613-07,2.1418,2.0391,2.085,2.0714,15.2535,15.298,0.0148,40,160,,0.0459,0.1027,0.0323,0.0445
23,Winter,UZ,"UZ12,23",0613-08,2.176,2.09,2.128,2.1149,15.4695,15.4874,0.006,101,99,W/ 195uL OF 2.56MG/ML TRIHEP,0.0380,0.0860,0.0249,0.0179
23,Winter,UZ,"UZ12,23",0613-09,2.0247,1.927,1.9701,1.9551,14.9008,14.9203,0.0065,92,108,W/ 195uL OF 2.56MG/ML TRIHEP,0.0431,0.0977,0.0281,0.0195
23,Summer,BE,"BE16,23",0621-01,2.1073,2.0366,2.064,2.0536,15.5013,15.5179,0.0055,108,92,,0.0274,0.0707,0.0170,0.0166
23,Summer,BE,"BE16,23",0621-02,2.0772,2.0113,2.0353,2.0286,14.7734,14.7873,0.0046,129,71,,0.0240,0.0659,0.0173,0.0139
23,Summer,BE,"BE16,23",0621-03,2.0459,1.9967,2.0141,2.0117,14.887,14.8968,0.0033,184,16,,0.0174,0.0492,0.0150,0.0098
23,Summer,BE,"BE16,23",0621-04,2.4405,2.3601,2.393,2.3808,14.8935,14.9126,0.0064,94,106,,0.0329,0.0804,0.0207,0.0191
23,Summer,BE,"BE16,23",0621-05,2.3965,2.3435,2.3623,2.359,15.549,15.5595,0.0035,171,29,,0.0188,0.0530,0.0155,0.0105
23,Summer,BE,"BE16,23",0621-06,2.0295,1.9673,1.991,1.985,14.8647,14.8775,0.0043,141,59,,0.0237,0.0622,0.0177,0.0128
23,Summer,BE,"BE16,23",0621-07,2.4104,2.3526,2.3743,2.3693,14.8051,14.8176,0.0042,144,56,,0.0217,0.0578,0.0167,0.0125
23,Summer,BE,"BE16,23",0621-08,2.384,2.3359,2.3528,2.3509,15.0782,15.0879,0.0032,186,14,,0.0169,0.0481,0.0150,0.0097
23,Summer,BE,"BE16,23",0621-09,2.031,1.9752,1.9964,1.9909,14.9978,15.0095,0.0039,154,46,,0.0212,0.0558,0.0157,0.0117
23,Summer,BE,"BE16,23",0621-10,2.403,2.3368,2.3603,2.3544,14.9016,14.9137,0.004,149,51,,0.0235,0.0662,0.0176,0.0121
23,Summer,BE,"BE16,23",0621-11,2.4116,2.3424,2.3699,2.3607,14.9492,14.9648,0.0052,115,85,,0.0275,0.0692,0.0183,0.0156
23,Summer,BE,"BE16,23",0622-01,2.4409,2.344,2.3802,2.3672,14.9659,14.9861,0.0067,89,111,,0.0362,0.0969,0.0232,0.0202
23,Summer,BE,"BE16,23",0622-02,2.4438,2.366,2.3976,2.3853,14.8111,14.8292,0.006,99,101,,0.0316,0.0778,0.0193,0.0181
23,Summer,BE,"BE16,23",0622-03,2.0709,1.9998,2.0272,2.0184,15.058,15.0725,0.0048,124,76,,0.0274,0.0711,0.0186,0.0145
23,Summer,BE,"BE16,23",0622-04,1.8404,1.7576,1.7904,1.7784,14.9179,14.9351,0.0057,105,95,,0.0328,0.0828,0.0208,0.0172
23,Summer,BE,"BE16,23",0622-05,1.8542,1.7695,1.8033,1.7894,14.9581,14.9766,0.0062,97,103,,0.0338,0.0847,0.0199,0.0185
23,Summer,BE,"BE16,23",0623-01,1.8211,1.7486,1.7759,1.7678,14.3795,14.3937,0.0047,127,73,,0.0273,0.0725,0.0192,0.0142
23,Summer,BE,"BE16,23",0623-02,2.0104,1.9306,1.9612,1.9511,14.7685,14.7855,0.0057,106,94,,0.0306,0.0798,0.0205,0.0170
23,Summer,BE,"BE16,23",0623-03,2.0828,2.0027,2.0342,2.0254,15.0993,15.112,0.0042,142,58,W/ 195uL OF 2.56MG/ML TRIHEP,0.0315,0.0801,0.0227,0.0127
23,Summer,BE,"BE16,23",0623-04,1.816,1.7674,1.7843,,15.2191,,0,#DIV/0!,#DIV/0!,,0.0169,0.0486,,
23,Summer,BE,"BE16,23",0623-05,1.969,1.8972,1.9245,1.9167,15.2805,15.294,0.0045,133,67,W/ 195uL OF 2.56MG/ML TRIHEP,0.0273,0.0718,0.0195,0.0135
23,Summer,UZ,"UZ16,23",0605-01,1.8908,1.8092,1.8337,1.8271,15.1333,15.1417,0.0028,214,-14,,,,,
23,Summer,UZ,"UZ16,23",0605-02,1.7991,1.7023,1.7308,1.7218,14.9687,14.9794,0.0036,168,32,,,,,
23,Summer,UZ,"UZ16,23",0605-03,1.8312,1.7287,1.761,1.7509,14.7095,14.7223,0.0043,141,59,,,,,
23,Summer,UZ,"UZ16,23",0605-04,1.8601,1.779,1.8027,1.7956,14.9541,14.963,0.003,202,-2,,,,,
23,Summer,UZ,"UZ16,23",0605-05,1.8494,1.7655,1.7898,1.7832,14.792,14.801,0.003,200,0,,,,,
23,Summer,UZ,"UZ16,23",0605-06,1.8829,1.8056,1.8278,1.8226,14.8072,14.8156,0.0028,214,-14,,,,,
23,Summer,UZ,"UZ16,23",0605-07,1.8649,1.7548,1.7885,1.7774,15.0935,15.1056,0.004,149,51,,,,,
23,Summer,UZ,"UZ16,23",0605-08,1.9398,1.8296,1.8652,1.8535,15.1468,15.1601,0.0044,135,65,,,,,
23,Summer,UZ,"UZ16,23",0605-09,1.8557,1.7521,1.7829,1.7745,15.1066,15.1173,0.0036,168,32,,,,,
23,Summer,UZ,"UZ16,23",0605-10,1.9278,1.8407,1.8688,1.86,15.2218,15.2332,0.0038,158,42,,,,,
23,Summer,UZ,"UZ16,23",0605-11,1.9397,1.8348,1.8672,1.8562,15.1568,15.2008,0.0147,41,159,,,,,
23,Summer,UZ,"UZ16,23",0605-12,1.9194,1.8137,1.8488,1.8355,14.9841,15.0018,0.0059,102,98,,,,,
23,Summer,UZ,"UZ16,23",0605-13,1.8933,1.7866,1.8184,1.8078,15.1915,15.2062,0.0049,122,78,,,,,
23,Summer,UZ,"UZ16,23",0605-14,1.8584,1.7708,1.7976,1.7897,15.0343,15.0492,0.005,121,79,,,,,
23,Summer,UZ,"UZ16,23",0605-15,1.8423,1.7691,1.7899,1.7841,14.9573,15.0105,0.0177,34,166,,,,,
23,Summer,UZ,"UZ16,23",0605-16,1.8691,1.7739,1.8017,1.7923,15.0517,15.0927,0.0137,44,156,,,,,
23,Summer,UZ,"UZ16,23",0605-17,1.8276,1.7406,1.7678,1.7579,15.1964,15.2531,0.0189,32,168,,,,,
23,Summer,UZ,"UZ16,23",0605-18,1.8673,1.7913,1.8134,1.808,15.0303,15.0825,0.0174,34,166,,,,,
23,Summer,UZ,"UZ16,23",0605-19,1.9454,1.8631,1.8888,1.8802,15.0168,15.0518,0.0117,51,149,,,,,
23,Summer,UZ,"UZ16,23",0605-20,1.805,1.7202,1.7453,1.7369,15.144,15.1845,0.0135,44,156,,,,,
23,Summer,UZ,"UZ16,23",0605-21,1.9088,1.8034,1.8348,1.825,15.086,15.1028,0.0056,107,93,,,,,
23,Summer,UZ,"UZ16,23",0605-22,1.8175,1.7043,1.7424,1.7271,14.7119,14.761,0.0164,37,163,,,,,
23,Summer,UZ,"UZ16,23",0605-23,1.9202,1.8169,1.8485,1.8374,15.1761,15.2238,0.0159,38,162,,,,,
23,Summer,UZ,"UZ16,23",0605-24,1.8994,1.8031,1.8348,1.8238,15.0935,15.1233,0.0099,60,140,,,,,
23,Summer,UZ,"UZ16,23",0605-25,1.8773,1.7622,1.801,1.7864,15.2276,15.2481,0.0068,88,112,,,,,
23,Summer,UZ,"UZ16,23",0607-01,2.0279,1.971,1.9901,1.9925,15.1122,15.1239,0.0039,154,46,,0.0191,0.0569,0.0215,0.0117
23,Summer,UZ,"UZ16,23",0607-02,1.8828,1.8149,1.8381,1.8385,15.1285,15.1405,0.004,150,50,,0.0232,0.0679,0.0236,0.0120
23,Summer,UZ,"UZ16,23",0607-03,1.8718,1.7915,1.8192,1.8182,15.1684,15.1835,0.005,119,81,,0.0277,0.0803,0.0267,0.0151
23,Summer,UZ,"UZ16,23",0607-04,1.9465,1.8874,1.9086,1.9116,14.7137,14.7254,0.0039,154,46,,0.0212,0.0591,0.0242,0.0117
23,Summer,UZ,"UZ16,23",0607-05,1.9181,1.858,1.8796,1.8797,15.1236,15.1367,0.0044,137,63,,0.0216,0.0601,0.0217,0.0131
23,Summer,UZ,"UZ16,23",0607-06,1.8919,1.8295,1.8501,,,,0,#DIV/0!,#DIV/0!,,0.0206,0.0624,,
23,Summer,UZ,"UZ16,23",0607-07,2.0606,1.9839,2.013,,,,0,#DIV/0!,#DIV/0!,,0.0291,0.0767,,
23,Summer,UZ,"UZ16,23",0607-08,2.1742,2.0905,2.12,,,,0,#DIV/0!,#DIV/0!,,0.0295,0.0837,,
23,Summer,UZ,"UZ16,23",0608-01,2.0749,2.0167,2.0381,,,,0,#DIV/0!,#DIV/0!,,0.0214,0.0582,,
23,Summer,UZ,"UZ16,23",0608-02,1.9108,1.8424,1.8662,,,,0,#DIV/0!,#DIV/0!,,0.0238,0.0684,,
23,Summer,UZ,"UZ16,23",0608-03,2.0328,1.9874,2.0094,,,,0,#DIV/0!,#DIV/0!,,0.0220,0.0454,,
