Block,Season,Cohort,Colony Info,Sample Name,Microtube wt + Beads + WET Larvae,Microtube Wt + Beads,Microtube + Beads + DRY Larvae,Microtube + Beads + LEAN Larvae,TV wt ,TV wt + DRY Lipids,WET Larva ,DRY Larva,LEAN Larvae,Lipid Wt,Cal LEAN Larvae
1,Winter,BE12,BE,0714-14,2.0828,2.0328,2.0472,2.0452,15.4912,15.4999,0.05,0.0144,0.0124,0.0087,0.0057
1,Winter,BE12,BE,0714-15,2.0273,1.9894,1.9997,1.9996,14.7906,14.7979,0.0379,0.0103,0.0102,0.0073,0.0030
1,Winter,BE12,BE,0714-16,2.2721,2.22,2.2372,2.24,15.4438,15.4561,0.0521,0.0172,0.0200,0.0123,0.0049
1,Winter,BE12,BE,0714-17,2.1428,2.1008,2.1118,2.1054,15.4658,15.4739,0.042,0.0110,0.0046,0.0081,0.0029
2,Winter,BE12,BE,0714-18,2.0076,1.9813,1.9874,1.9903,14.7675,14.7731,0.0263,0.0061,0.0090,0.0056,0.0005
2,Winter,BE12,BE,0714-19,2.1732,2.1281,2.1392,2.138,14.6241,14.629,0.0451,0.0111,0.0099,0.0049,0.0062
2,Winter,BE12,BE,0714-20,2.1281,2.0765,2.0918,2.0911,14.3736,14.379,0.0516,0.0153,0.0146,0.0054,0.0099
3,Winter,BE12,BE,0714-23,2.168,2.1189,2.1336,2.1323,14.3229,14.3286,0.0491,0.0147,0.0134,0.0057,0.0090
3,Winter,BE12,BE,0717-01,1.8899,1.8212,1.8487,1.8399,14.358,14.3704,0.0687,0.0275,0.0187,0.0124,0.0151
3,Winter,BE12,BE,0717-02,1.9112,1.8559,1.8763,1.8712,14.3494,14.3578,0.0553,0.0204,0.0153,0.0084,0.0120
4,Winter,BE12,BE,0717-03,2.026,1.9339,1.9639,1.955,14.2555,14.2691,0.0921,0.0300,0.0211,0.0136,0.0164
